product_id,category,brand,product_name,product_url
27,에센스/세럼/앰플,헤브블루,헤브블루 살몬 PDRN 케어링 센텔라 앰플 30ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213990&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=27
28,에센스/세럼/앰플,VT,[보습 광채탄력] VT 피디알엔 에센스 100 30ml 더블 기획 (+리들샷 100 10ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000232213&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=28
29,에센스/세럼/앰플,리덴스,[기미잡티/미백] 리덴스 톤앤스팟 코렉터 앰플 30ml 더블기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230854&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=29
30,에센스/세럼/앰플,에스트라,[50%용량증정] 에스트라 아토베리어365 세라-히알 속수분 앰플 30ml 기획 (+15ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000217326&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=30
31,에센스/세럼/앰플,성분에디터,[1월올영픽]성분에디터 그린토마토 NMN 포어 리프팅 앰플 40ml 더블 기획 (+산리오캐릭터즈 빗거울),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000242565&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=31
32,에센스/세럼/앰플,셀리맥스,[단독기획] 셀리맥스 더 리얼 노니 에너지 앰플 90ml 기획 (80ml+10ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000203971&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=32
33,에센스/세럼/앰플,달바,[미백/잡티케어] 달바 비타 토닝 캡슐 세럼 50ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223424&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=33
34,에센스/세럼/앰플,어나더페이스,어나더페이스 펩타테놀10 베리어 세럼 40ml 리필기획 (+40ml리필),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000240991&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=34
35,에센스/세럼/앰플,파넬,[1등 진정세럼] 파넬 시카마누 92세럼 30ml 리필기획(+30ml 리필+15ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000237728&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=35
36,에센스/세럼/앰플,구달,[1/8 하루특가] 구달 청귤 비타C 잡티케어 세럼 알파 50ml 리필 기획 (+35ml 미니어처),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000229790&dispCatNo=100000100010014&trackingCd=Cat100000100010014_Small&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=36
