ingredient_code,ingredient_name,english_name,cas_no,old_name
3540,팔마로사오일,Cymbopogon Martini Oil,8014-19-5,
3477,파라핀,Paraffin,8002-74-2,
3474,파네실아세테이트,Farnesyl Acetate,29548-30-9,
3468,티트리잎오일,Melaleuca Alternifolia (Tea Tree) Leaf Oil,8022-72-8 68647-73-4,
3436,티아민에이치씨엘,Thiamine HCl,67-03-08,
3435,티비에이치큐,TBHQ,1948-33-0,
3433,티몰,Thymol,89-83-8,
3431,트립토판,Tryptophan,54-12-6(dl-alpha) 73-22-3(L-F,
3313,트레오닌,Threonine,72-19-5(L-Form) 80-68-2(dl-al,
3281,토마토수,Solanum Lycopersicum (Tomato) Fruit Water,90131-63-8,
3256,4-터피네올,4-Terpineol,562-74-3,
3255,터피네올,Terpineol,8000-41-7 8006-39-1 98-55-5,
3230,타우린,Taurine,107-35-7,
3214,키위수,Actinidia Chinensis (Kiwi) Fruit Water,,
3204,클로브줄기오일,Eugenia Caryophyllus (Clove) Stem Oil,,
3203,클로브잎오일,Eugenia Caryophyllus (Clove) Leaf Oil,8000-34-8 8015-97-2,
3201,클로브꽃추출물,Eugenia Caryophyllus (Clove) Flower Extract,84961-50-2,
3200,클로브꽃오일,Eugenia Caryophyllus (Clove) Flower Oil,,
3172,크로토닉애씨드,Crotonic Acid,3724-65-0,
3019,코드리버오일,Cod Liver Oil,8001-69-2,
3004,커리플랜트꽃오일,Helichrysum Angustifolium Flower Oil,8023-95-8,
3000,캠퍼,Camphor,76-22-2 464-49-3,
2985,캐모마일꽃추출물,Anthemis Nobilis Flower Extract,84649-86-5,캐모마일꽃추출물
2978,캐러웨이열매오일,Carum Carvi (Caraway) Fruit Oil,8000-42-8,
2960,칼슘알지네이트,Calcium Alginate,9005-35-0,
2911,카페익애씨드,Caffeic Acid,331-39-5,
2894,카제푸트오일,Melaleuca Leucadendron Cajaput Oil,85480-37-1,
2864,카라멜,Caramel,8028-89-5,
2855,치커리뿌리추출물,Cichorium Intybus (Chicory) Root Extract,68650-43-1,
2799,참당귀추출물,Angelica Gigas Extract,,
2756,녹차추출물,Camellia Sinensis Leaf Extract,84650-60-2,
2640,장미꽃오일,Rose Flower Oil,8007-01-0,
2630,자주개자리추출물,Medicago Sativa (Alfalfa) Extract,84082-36-0,
2619,자일로오스,Xylose,58-86-6,
2600,자몽껍질오일,Citrus Paradisi (Grapefruit) Peel Oil,8016-20-4 90045-43-5,
2589,잇꽃씨오일,Carthamus Tinctorius (Safflower) Seed Oil,8001-23-8,
2419,육두구추출물,Myristica Fragrans (Nutmeg) Extract,84082-68-8,육두구추출물
2361,월계수잎추출물,Laurus Nobilis Leaf Extract,84603-73-6,
2340,우르솔릭애씨드,Ursolic Acid,77-52-1,
2322,왕귤수,Citrus Grandis (Grapefruit) Fruit Water,,
2317,왕귤껍질오일,Citrus Grandis (Grapefruit) Peel Oil,8016-20-4,
2287,올레일알코올,Oleyl Alcohol,143-28-2 593-47-5,
2283,올레익애씨드,Oleic Acid,112-80-1 2027-47-6,
2267,올레스-50,Oleth-50,9004-98-2(Generic),
2266,올레스-40,Oleth-40,9004-98-2(Generic),
2265,올레스-30,Oleth-30,9004-98-2(Generic),
2264,올레스-25,Oleth-25,9004-98-2(Generic),
2262,올레스-16,Oleth-16,9004-98-2(Generic) 25190-05-0,
2261,올레스-15,Oleth-15,9004-98-3(Generic),
2260,올레스-12,Oleth-12,9004-98-2(Generic),
2258,올레스-10,Oleth-10,9004-98-2(Generic) 24871-34-9 71976-00-6,
2257,올레스-8,Oleth-8,9004-98-2(Generic) 26996-03-2,
2256,올레스-7,Oleth-7,9004-98-2(Generic),
2255,올레스-6,Oleth-6,9004-98-2(Generic),
2254,올레스-5,Oleth-5,5353-27-5 9004-98-2(Generic),
2253,올레스-4,Oleth-4,5353-26-4 9004-98-2(Generic),
2252,올레스-3,Oleth-3,5274-66-8 9004-98-2(Generic),
2251,올레스-2,Oleth-2,5274-65-7 9004-98-2(Generic),
2247,옥틸도데칸올,Octyldodecanol,5333-42-6,
2200,옥수수오일,Zea Mays (Corn) Oil,8001-30-7,
2156,오렌지추출물,Citrus Aurantium Dulcis (Orange) Fruit Extract,84012-28-2,
2154,오렌지오일,Citrus Aurantium Dulcis (Orange) Oil,8008-57-9,
2118,엠이케이,MEK,78-93-3,
2079,에칠헥실살리실레이트,Ethylhexyl Salicylate,118-60-5,
2013,에리소빅애씨드,Erythorbic Acid,89-65-6,
1955,암모늄클로라이드,Ammonium Chloride,12125-02-9,
1935,암모늄글리시리제이트,Ammonium Glycyrrhizate,53956-04-0,
1877,알릴카프로에이트,Allyl Caproate,123-68-2,
1834,알로에베라잎,Aloe Barbadensis Leaf,8001-97-6,
1826,알라닌,Alanine,56-41-7(L-Form) 302-72-7(dl-a,
1817,안젤리카뿌리오일,Angelica Archangelica Root Oil,84775-41-7,
1736,아스파틱애씨드,Aspartic Acid,56-84-8(L-Form) 617-45-8,
1729,아스코빌팔미테이트,Ascorbyl Palmitate,137-66-6,
1685,아세트아닐라이드,Acetanilid,103-84-4,
1684,아세톤,Acetone,67-64-1,
1672,아밀아세테이트,Amyl Acetate,628-63-7,
1668,아밀살리실레이트,Amyl Salicylate,2050-08-0,
1612,p-아니식애씨드,p-Anisic Acid,100-09-4,
1611,아니스열매추출물,Pimpinella Anisum (Anise) Fruit Extract,84775-42-8,
1602,아가,Agar,9002-18-0,
1592,쓴박하추출물,Marrubium Vulgare Extract,84696-20-8,
1527,시트로넬알,Citronellal,106-23-0,
1526,시트로넬릴아세테이트,Citronellyl Acetate,150-84-5,
