product_id,category,brand,product_name,ingredient,product_rating
S221,스킨/토너,후시다인,더마 트러블 밸런싱 토너,"정제수, 글리세린, 1,2-헥산다이올, 프로판다이올, 푸시디움 코키네움발효용해추출여과물, 알바수련꽃추출물, 프로테아제, 베타인, 스트렙토코쿠스 테르모필루스발효물, 클로렐라 불가리스추출물, 소듐하이알루로네이트, 사과즙, 삼나무잎추출물, 연꽃잎추출물, 효모발효물, 백미꽃추출물, 접시꽃추출물, 부틸렌글라이콜, 글리세레스-26, 메틸글루세스-20, 글루코오스, 프룩토올리고사카라이드, 프룩토오스, 판테놀, 에틸헥실글리세린, 만델릭애씨드, 소듐시트레이트, 소듐파이테이트, 토코페롤, 다이프로필렌글라이콜, 펜틸렌글라이콜, 카프릴릴/카프릴글루코사이드, 하이드로제네이티드레시틴, 세라마이드엔피",4.9
S222,스킨/토너,아이소이,포맨 아쿠아 수딩 토너,"정제수,글리세린,에탄올,베타인,소듐하이알루로네이트,귀리가루추출물,라즈베리추출물,신선초추출물,밤부사 불가리스추출물,바질추출물,녹차추출물,쑥잎추출물,알란토인,판테놀,알지닌,카보머,부틸렌글라이콜,1,2-헥산다이올,포트마리골드꽃추출물,황금추출물,모란뿌리추출물,스페인감초뿌리추출물,로즈마리잎오일,베르가모트오일,리모넨,리날룰",4.8
S223,스킨/토너,닥터멜락신,아쿠아 이온 플라즈마 수분 토너,"정제수,부틸렌글라이콜,프로판다이올,글리세린,다이프로필렌글라이콜,나이아신아마이드,자일리톨,1,2-헥산다이올,자일리틸글루코사이드,안하이드로자일리톨,하이드록시아세토페논,에틸헥실글리세린,아데노신,암모늄폴리아크릴로일다이메틸타우레이트,소듐시트레이트,옥수수커넬추출물,다이소듐이디티에이,시트릭애씨드,덱스트린,소듐하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,하이알루로닉애씨드,치자추출물,글루코오스,프룩탄,소듐글루타메이트,소듐클로라이드,포타슘클로라이드,하이드록시프로필트라이모늄하이알루로네이트,칼슘락테이트,마그네슘카보네이트,소듐아세틸레이티드하이알루로네이트,하이드롤라이즈드소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,포타슘하이알루로네이트",4.8
S224,스킨/토너,비레디,시카페인 트러블리셋 토너,"편백수, 정제수, 부틸렌글라이콜, 글리세린, 프로판다이올, 1,2-헥산다이올, 다이프로필렌글라이콜, 소듐시트레이트, 에틸헥실글리세린, 시트릭애씨드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 글루코노락톤, 다이소듐이디티에이, 나이아신아마이드, 카페인, 솔비탄아이소스테아레이트, 토코페롤, 알지닌, 사이클로덱스트린, 하이드록시프로필사이클로덱스트린, 말토덱스트린, 피토스테롤",4.7
S225,스킨/토너,더랩바이블랑두,저분자 히알루론산 딥 토너 캔,"정제수, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 베타-글루칸, 베타인, 소듐하이알루로네이트(2,700 ppm), 판테놀, 솔비톨, 아세틸글루코사민, 글루쿠로닉애씨드, 알란토인, 토코페롤, 에틸헥실글리세린, 다이소듐이디티에이",5.0
S227,스킨/토너,헤브블루,살몬 PDRN 케어링 센텔라 토너,"병풀잎수(828,168ppm), 정제수, 부틸렌글라이콜, 약모밀수(30,380ppm), 프로판다이올, 글리세린, 1,2-헥산다이올, 연어알추출물(1,500ppm), 알란토인, 판테놀, 에틸헥실글리세린, 소듐하이알루로네이트, 다이소듐이디티에이, 말토덱스트린, 아보카도열매추출물, 덱스트린, 카카오추출물, 쇠비름추출물, 마데카소사이드, 소듐디엔에이",4.9
S228,스킨/토너,플라스킨,하얀쌀 효소필 단백질 토너,"정제수, 글리세린, 부틸렌글라이콜, 나이아신아마이드, 펜틸렌글라이콜, 1,2-헥산다이올, 쌀추출물, 귀리커넬추출물, 아티초크잎추출물, 무화과추출물, 병풀추출물, 하이드로제네이티드레시틴, 녹차수, 다이페닐다이메티콘, 트라이에틸헥사노인, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리글리세릴-10올리에이트, 메틸프로판다이올, 소듐시트레이트, 하이드록시아세토페논, 에틸헥실글리세린, 시트릭애씨드, 다이소듐이디티에이, 폴리쿼터늄-51, 베타-글루칸, 하이드롤라이즈드쌀단백질, 세라마이드엔피, 토코페롤, 만니톨, 파파인, 브로멜라인",4.7
S229,스킨/토너,리얼베리어,익스트림 에센스 토너 라이트,"정제수, 다이프로필렌글라이콜, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 하이드록시에틸우레아, 하이드록시아세토페논, 판테놀, 글라이코실트레할로오스, 카보머, 하이드로제네이티드스타치하이드롤리세이트, 알란토인, 시어버터, 카프릴릴/카프릴글루코사이드, 베타인, 하이드로제네이티드레시틴, 소듐파이테이트, 폴리글리세릴-10라우레이트, 소듐하이알루로네이트, 폴리글리세릴-10미리스테이트, 알지닌, 해바라기씨오일, 올리브오일, 폴리글리세릴-10스테아레이트, 락토바이오닉애씨드, 글리세릴카프릴레이트, 비스-카프릴로일옥시팔미타미도아이소프로판올, 카프릴로일살리실릭애씨드, 다이하이드록시아이소프로필팔모일팜아마이드, 엑토인, 리놀레익애씨드, 마데카소사이드, 미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이, 피토스테롤, 광곽향오일, 살비아오일, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 소두구씨오일, 글라이코리피드, 타타릭애씨드, 캐모마일꽃오일, 콘민트오일, 멕시칸주니퍼오일, 프로판다이올, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드글라이코사미노글리칸, 벤질글라이콜, 하이드롤라이즈드하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 에틸헥실글리세린, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 라즈베리케톤",4.8
S232,스킨/토너,더후,공진향 탄력 밸런싱 토너,"정제수*, 변성알코올, 1,2-헥산다이올*, 다이프로필렌글라이콜, 부틸렌글라이콜*, 글리세린, 베타인, 메틸글루세스-20, 판테놀, 트레할로오스, 피이지-40하이드로제네이티드캐스터오일, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 아데노신, 소듐하이알루로네이트, 잔탄검, 천문동뿌리추출물*, 각시둥굴레뿌리줄기/뿌리추출물, 하수오뿌리추출물, 알지닌*, 밀리타리스동충하초추출물, 동충하초추출물, 글루타믹애씨드*, 산수유열매추출물*, 참당귀뿌리추출물*, 타임추출물*, 홍삼추출물, 인삼추출물, 글라이코프로테인*, 카프릴릭/카프릭트라이글리세라이드, 영지버섯추출물*, 쿠푸아수씨버터, 하이드로제네이티드레시틴, 에틸헥실글리세린*, 글리세릴스테아레이트, 피이지-100스테아레이트, 피이지-10피토스테롤, 락토바실러스/콩발효추출물, 효모/감자추출물발효여과물, 글라이코리피드, 효모/보리씨발효여과물, 베헤닐알코올, 트라이소듐이디티에이, 트로메타민, 향료, 제라니올, 리날룰, 리모넨",4.0
S233,스킨/토너,피지오겔,시카밸런스 포맨 카밍 토너,"정제수, 부틸렌글라이콜, 1,2-헥산다이올, 프로판다이올, 글리세린, 나이아신아마이드, 판테놀, 다이프로필렌글라이콜, 소듐시트레이트, 카르니틴, 시트릭애씨드, 알란토인, 살리실릭애씨드, 마데카소사이드(250 ppm), 트라이소듐이디티에이, 사코신, 아세타마이드엠이에이, 베타-글루칸, 팔미타마이드엠이에이, 스쿠알란, 아시아티코사이드(0.4 ppm), 마데카식애씨드(0.35 ppm), 아시아틱애씨드(0.25 ppm), 카프릴릭/카프릭트라이글리세라이드, 세라마이드엔피, 하이드로제네이티드레시틴",4.9
