ingredient,count
소듐다이라우미도글루타미드라이신,1
트라이소듐이디티에이,1
폴리글리세릴-10올리에이트,1
포타슘포스페이트,1
아미노에탄설피닉애씨드,1
콜라겐아미노산,1
은행추출물,1
수용성콜라겐,1
데사미도콜라겐,1
아텔로콜라겐,1
하이드롤라이즈드익스텐신,1
커피콩추출물,1
제라니올',1
락토바실러스/고추냉이뿌리발효추출물,1
락토바실러스/호밀가루발효물,1
바나나추출물,1
페퍼민트꽃/잎/줄기추출물,1
효모/보리씨발효여과물,1
개다래추출물,1
순무잎추출물,1
양배추추출물,1
사탕무뿌리추출물,1
쑥잎추출물,1
지모뿌리추출물,1
마늘추출물,1
양파추출물,1
으름덩굴추출물,1
창포뿌리추출물,1
결명씨추출물,1
단풍나무잎추출물,1
효모/자일리눔/홍차발효물,1
효모/포도발효추출물,1
모나스커스/쌀발효물,1
락토바실러스/부레옥잠발효물,1
락토바실러스/인삼뿌리발효여과물,1
무추출물,1
수박추출물,1
파파야열매추출물,1
모과추출물,1
구기자추출물,1
허브로버트추출물,1
인동덩굴꽃추출물,1
표고버섯추출물,1
고구마뿌리추출물,1
원추리꽃추출물,1
해바라기씨추출물,1
잎새버섯자실체추출물,1
스페인감초뿌리추출물,1
긴병꽃풀추출물,1
비파나무잎추출물,1
치커리뿌리추출물,1
쇠뜨기추출물,1
감추출물,1
오이열매추출물,1
쿠네아타산사열매추출물,1
더덕뿌리추출물,1
귤껍질추출물,1
유자추출물,1
베르가모트잎추출물,1
다이펩타이드-2,1
