ingredient,product_count,cat_미스트/오일,ratio_미스트/오일
카라기난추출물,1,1,1.0
프로판디올,1,1,1.0
아벤느 온천수,1,1,1.0
프로테아제,1,1,1.0
락토코쿠스발효용해물,1,1,1.0
다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트,1,1,1.0
편백잎추출물,1,1,1.0
제충국꽃추출물,1,1,1.0
레몬유칼립투스오일,1,1,1.0
폴리글리세릴-2올리에이트,1,1,1.0
옥틸도데세스-16,1,1,1.0
수용성프로테오글리칸,1,1,1.0
겔리듐 카르틸라기네움추출물,1,1,1.0
에델바이스캘러스배양추출물,1,1,1.0
소듐서팩틴,1,1,1.0
아세틸헥사펩타이드-1,1,1,1.0
하이드록시프로필비스라우라마이드엠이에이,1,1,1.0
세틸에칠헥사노에이트,1,1,1.0
디메치콘,1,1,1.0
리날룰 * 제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 닥터자르트 고객만족센터으로 연락 부탁 드립니다.,1,1,1.0
포타슘소르베이트,1,1,1.0
망가니즈피씨에이,1,1,1.0
피이지-40하이드로제네이티드캐스터오일,1,1,1.0
징크피씨에이,1,1,1.0
마그네슘피씨에이,1,1,1.0
마데카식애씨드,1,1,1.0
아시아틱애씨드,1,1,1.0
디포타슘글리시리제이트,1,1,1.0
포도즙추출물,1,1,1.0
결명씨추출물,1,1,1.0
아티초크잎추출물,1,1,1.0
한련초잎추출물,1,1,1.0
다이-C12-13알킬말레이트,1,1,1.0
부틸페닐메틸프로피오날,1,1,1.0
소듐하이드록사이드,1,1,1.0
연꽃추출물,1,1,1.0
사우수레아인볼루크라타추출물,1,1,1.0
레이디스맨틀추출물,1,1,1.0
당아욱추출물,1,1,1.0
황산앵초추출물,1,1,1.0
스피드웰추출물,1,1,1.0
에칠멘탄카복사마이드,1,1,1.0
멘틸피씨에이,1,1,1.0
페퍼민트오일,1,1,1.0
시계꽃추출물,1,1,1.0
세이지잎추출물,1,1,1.0
박하잎추출물,1,1,1.0
말로우잎추출물,1,1,1.0
꽃박하잎추출물,1,1,1.0
선백리향잎추출물,1,1,1.0
서양민들레뿌리줄기/뿌리추출물,1,1,1.0
레티놀,1,1,1.0
비에이치티,1,1,1.0
토코트라이엔올,1,1,1.0
코코넛야자오일,1,1,1.0
수크로오스스테아레이트,1,1,1.0
효모폴리펩타이드,1,1,1.0
티아꽃추출물,1,1,1.0
아모다이메티콘,1,1,1.0
살리실로일피토스핑고신,1,1,1.0
당근씨오일,1,1,1.0
카놀라오일,1,1,1.0
잇꽃꽃추출물,1,1,1.0
덱스트린,1,1,1.0
하이드록시메톡시페닐데칸온,1,1,1.0
리놀레닉애씨드,1,1,1.0
리놀레익애씨드,1,1,1.0
비니거,1,1,1.0
하이드록시에틸피페라진에탄설포닉애씨드,1,1,1.0
아이소노닐아이소노나노에이트,1,1,1.0
다이카프릴릴카보네이트,1,1,1.0
C13-15알케인,1,1,1.0
변성알코올,1,1,1.0
들깨잎추출물,1,1,1.0
명일엽잎/줄기추출물,1,1,1.0
카렌둘라꽃추출물,1,1,1.0
갈바눔수지오일,1,1,1.0
로얄젤리추출물,1,1,1.0
비타민나무열매추출물,1,1,1.0
사이클로펜타실록세인,1,1,1.0
아이소헥사데칸,1,1,1.0
비타민나무수,1,1,1.0
로즈힙씨오일,1,1,1.0
징크설페이트,1,1,1.0
비터오렌지꽃오일,1,1,1.0
토코페롤캐모마일꽃오일,1,1,1.0
마조람잎추출물,1,1,1.0
불가리스쑥오일,1,1,1.0
아틀라스시다나무껍질오일,1,1,1.0
알파-비사보롤,1,1,1.0
올리브오일,1,1,1.0
토마토추출물,1,1,1.0
프룩토오스,1,1,1.0
잇꽃씨오일,1,1,1.0
클로렐라 불가리스추출물,1,1,1.0
당아욱잎추출물,1,1,1.0
콘민트잎추출물,1,1,1.0
로즈마리추출물,1,1,1.0
트라이소듐에틸렌다이아민다이석시네이트,1,1,1.0
라벤더꽃/잎/줄기추출물,1,1,1.0
줄맨드라미씨추출물,1,1,1.0
느릅나무뿌리추출물,1,1,1.0
사이클로펜타실록산,1,1,1.0
메칠프로판디올,1,1,1.0
이소헥사데칸,1,1,1.0
황차카테킨,1,1,1.0
말라카이트추출물,1,1,1.0
황차추출물,1,1,1.0
서양산딸기잎추출물,1,1,1.0
효모/율무씨발효여과물,1,1,1.0
자주개자리씨추출물,1,1,1.0
락토바실러스/쌀발효물,1,1,1.0
락토바실러스/홍삼발효여과물,1,1,1.0
이노시톨,1,1,1.0
폴리에스터-5,1,1,1.0
라피노오스,1,1,1.0
해바라기씨오일불검화물,1,1,1.0
팔미틱애씨드,1,1,1.0
세라마이드엔지,1,1,1.0
락토바실러스/배즙발효여과물,1,1,1.0
자두추출물,1,1,1.0
타임잎추출물,1,1,1.0
시금치추출물,1,1,1.0
검은깨추출물,1,1,1.0
형개추출물,1,1,1.0
얼룩조릿대잎추출물,1,1,1.0
라즈베리추출물,1,1,1.0
지황뿌리추출물,1,1,1.0
사과추출물,1,1,1.0
복숭아추출물,1,1,1.0
미역추출물,1,1,1.0
살구추출물,1,1,1.0
도라지뿌리추출물,1,1,1.0
왕질경이씨추출물,1,1,1.0
팥추출물,1,1,1.0
소엽잎추출물,1,1,1.0
기장추출물,1,1,1.0
바질잎추출물,1,1,1.0
연꽃뿌리추출물,1,1,1.0
하늘타리뿌리추출물,1,1,1.0
생강추출물,1,1,1.0
산뽕나무잎추출물,1,1,1.0
프로콜라겐,1,1,1.0
다시마추출물,1,1,1.0
쿠티박테리움 아비둠발효추출여과물,1,1,1.0
아이리쉬모스추출물,1,1,1.0
소듐다이라우미도글루타미드라이신,1,1,1.0
트라이소듐이디티에이,1,1,1.0
폴리글리세릴-10올리에이트,1,1,1.0
포타슘포스페이트,1,1,1.0
아미노에탄설피닉애씨드,1,1,1.0
콜라겐아미노산,1,1,1.0
은행추출물,1,1,1.0
수용성콜라겐,1,1,1.0
데사미도콜라겐,1,1,1.0
아텔로콜라겐,1,1,1.0
하이드롤라이즈드익스텐신,1,1,1.0
커피콩추출물,1,1,1.0
제라니올 Cyto-ferm Activator™ 멜팅세라마이드 Tru-Active™ Biopeptide190™,1,1,1.0
락토바실러스/고추냉이뿌리발효추출물,1,1,1.0
락토바실러스/호밀가루발효물,1,1,1.0
바나나추출물,1,1,1.0
페퍼민트꽃/잎/줄기추출물,1,1,1.0
효모/보리씨발효여과물,1,1,1.0
개다래추출물,1,1,1.0
순무잎추출물,1,1,1.0
양배추추출물,1,1,1.0
사탕무뿌리추출물,1,1,1.0
쑥잎추출물,1,1,1.0
지모뿌리추출물,1,1,1.0
마늘추출물,1,1,1.0
양파추출물,1,1,1.0
으름덩굴추출물,1,1,1.0
창포뿌리추출물,1,1,1.0
파파야열매추출물,1,1,1.0
단풍나무잎추출물,1,1,1.0
효모/자일리눔/홍차발효물,1,1,1.0
효모/포도발효추출물,1,1,1.0
모나스커스/쌀발효물,1,1,1.0
락토바실러스/부레옥잠발효물,1,1,1.0
락토바실러스/인삼뿌리발효여과물,1,1,1.0
무추출물,1,1,1.0
수박추출물,1,1,1.0
동백나무잎추출물,1,1,1.0
모과추출물,1,1,1.0
구기자추출물,1,1,1.0
허브로버트추출물,1,1,1.0
인동덩굴꽃추출물,1,1,1.0
표고버섯추출물,1,1,1.0
고구마뿌리추출물,1,1,1.0
원추리꽃추출물,1,1,1.0
해바라기씨추출물,1,1,1.0
잎새버섯자실체추출물,1,1,1.0
스페인감초뿌리추출물,1,1,1.0
긴병꽃풀추출물,1,1,1.0
비파나무잎추출물,1,1,1.0
치커리뿌리추출물,1,1,1.0
쇠뜨기추출물,1,1,1.0
감추출물,1,1,1.0
오이열매추출물,1,1,1.0
쿠네아타산사열매추출물,1,1,1.0
더덕뿌리추출물,1,1,1.0
귤껍질추출물,1,1,1.0
유자추출물,1,1,1.0
베르가모트잎추출물,1,1,1.0
다이펩타이드-2,1,1,1.0
