건성,민감성,복합성,약건성,지성,트러블성,중성,product_id
4.96,4.75,4.92,5.0,4.9,4.85,5.0,E199
4.9,5.0,4.94,5.0,5.0,5.0,4.8,E200
5.0,4.82,4.84,5.0,4.94,5.0,5.0,E201
4.88,4.83,4.89,5.0,4.92,4.9,,E202
4.96,4.71,4.87,5.0,4.62,4.78,5.0,E203
4.45,4.64,4.46,1.0,4.31,4.83,1.0,E204
5.0,4.55,4.7,5.0,5.0,4.0,4.4,E206
4.83,4.81,4.88,4.5,4.08,5.0,4.5,E207
4.91,4.79,4.92,5.0,4.94,4.8,5.0,E208
4.85,4.79,4.92,5.0,4.73,4.43,4.4,E209
4.94,5.0,5.0,5.0,4.88,4.33,5.0,E210
4.75,4.75,4.87,5.0,4.78,4.67,5.0,E211
4.75,4.87,4.95,5.0,4.81,5.0,5.0,E213
4.97,5.0,5.0,5.0,5.0,5.0,5.0,E214
4.96,4.79,4.96,5.0,5.0,5.0,5.0,E215
4.81,4.82,4.88,,4.46,5.0,5.0,E216
5.0,5.0,5.0,4.5,5.0,5.0,,E217
4.95,4.85,4.98,4.83,4.91,4.71,4.75,E218
4.86,4.94,4.86,5.0,4.79,4.82,5.0,E219
4.95,5.0,4.89,4.5,5.0,5.0,4.5,E220
5.0,4.85,4.86,5.0,5.0,5.0,5.0,E221
4.9,4.97,4.96,4.67,5.0,5.0,5.0,E223
4.95,4.73,4.85,5.0,5.0,4.75,5.0,E224
4.73,4.88,4.89,4.67,4.89,5.0,5.0,E225
5.0,4.86,4.98,,5.0,5.0,,E226
4.88,4.82,4.74,5.0,4.58,4.6,5.0,E227
4.98,5.0,5.0,5.0,5.0,4.5,4.0,E228
4.91,5.0,5.0,5.0,5.0,5.0,5.0,E229
4.96,5.0,4.91,5.0,5.0,5.0,,E230
5.0,5.0,5.0,5.0,5.0,5.0,5.0,E231
5.0,4.89,4.85,5.0,5.0,4.89,5.0,E232
4.81,4.73,4.72,,4.9,4.67,,E233
4.79,4.76,4.84,3.67,5.0,4.71,5.0,E234
4.79,4.81,4.61,5.0,4.88,5.0,5.0,E235
4.86,5.0,4.8,5.0,5.0,5.0,5.0,E236
5.0,4.8,4.78,5.0,4.91,5.0,5.0,E237
4.73,4.77,4.68,5.0,4.91,5.0,5.0,E238
4.81,4.85,4.79,4.0,4.67,5.0,5.0,E239
4.82,4.78,4.85,5.0,4.6,4.8,5.0,E240
5.0,4.59,4.92,,4.93,4.86,5.0,E241
4.85,4.71,4.74,4.67,4.31,4.5,,E242
4.59,4.68,4.92,,4.38,5.0,4.33,E243
4.57,4.82,4.72,,4.43,4.67,4.0,E244
5.0,4.86,4.96,5.0,4.8,4.5,5.0,E245
4.94,5.0,4.77,,4.89,4.6,5.0,E246
4.78,4.75,4.91,5.0,5.0,5.0,4.0,E247
4.84,4.62,4.92,,5.0,4.89,5.0,E248
4.91,4.8,4.79,5.0,4.7,5.0,5.0,E249
4.84,4.64,4.97,5.0,5.0,5.0,4.0,E250
4.93,4.86,4.91,4.75,5.0,5.0,5.0,E251
4.94,5.0,4.97,,4.95,4.33,,E252
5.0,4.62,4.79,5.0,4.8,4.92,,E253
4.77,4.64,4.94,5.0,5.0,5.0,4.0,E254
4.88,4.74,4.58,5.0,4.42,4.8,,E255
4.95,4.95,4.83,5.0,4.86,4.75,,E256
4.9,4.77,4.83,5.0,4.67,5.0,,E257
4.63,4.74,4.78,,4.46,4.33,5.0,E258
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S1
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S2
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S3
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S4
5.0,5.0,5.0,,5.0,5.0,5.0,S5
5.0,5.0,5.0,,5.0,5.0,5.0,S7
5.0,5.0,5.0,,5.0,5.0,5.0,S8
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S9
5.0,5.0,5.0,,5.0,5.0,5.0,S10
5.0,5.0,5.0,5.0,5.0,5.0,,S11
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S13
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S15
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S16
5.0,5.0,5.0,,5.0,5.0,5.0,S17
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S18
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S19
5.0,5.0,5.0,,5.0,5.0,5.0,S20
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S22
5.0,5.0,5.0,,5.0,5.0,5.0,S23
5.0,5.0,5.0,5.0,5.0,5.0,,S24
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S25
5.0,5.0,5.0,,5.0,5.0,5.0,S26
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S27
5.0,5.0,5.0,,5.0,5.0,5.0,S28
5.0,5.0,5.0,,5.0,5.0,5.0,S29
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S30
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S32
5.0,5.0,5.0,,5.0,5.0,5.0,S33
5.0,5.0,5.0,,5.0,5.0,5.0,S34
5.0,5.0,5.0,,5.0,5.0,,S35
5.0,5.0,5.0,,5.0,,5.0,S36
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S37
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S39
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S42
5.0,5.0,5.0,5.0,5.0,5.0,,S43
5.0,5.0,5.0,,5.0,5.0,5.0,S44
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S45
5.0,5.0,5.0,5.0,5.0,5.0,,S46
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S48
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S49
5.0,5.0,5.0,,5.0,5.0,,S50
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S51
5.0,5.0,5.0,,5.0,5.0,,S52
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S53
5.0,5.0,5.0,,5.0,5.0,5.0,S54
5.0,5.0,5.0,,5.0,5.0,5.0,S55
5.0,5.0,5.0,5.0,5.0,5.0,,S56
5.0,5.0,5.0,,5.0,5.0,,S57
5.0,5.0,5.0,,5.0,5.0,5.0,S58
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S59
5.0,5.0,5.0,,5.0,5.0,5.0,S60
5.0,5.0,5.0,,5.0,5.0,,S63
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S65
5.0,5.0,5.0,,5.0,5.0,,S66
5.0,5.0,5.0,5.0,5.0,5.0,,S71
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S72
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S73
5.0,5.0,5.0,5.0,5.0,5.0,,S74
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S77
5.0,5.0,5.0,,5.0,5.0,,S78
5.0,5.0,5.0,,5.0,5.0,,S79
5.0,5.0,5.0,5.0,5.0,5.0,,S80
5.0,5.0,5.0,5.0,5.0,5.0,,S81
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S82
5.0,5.0,5.0,,5.0,5.0,5.0,S83
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S85
5.0,5.0,5.0,,5.0,5.0,,S89
5.0,5.0,5.0,5.0,5.0,5.0,,S90
5.0,5.0,5.0,5.0,5.0,5.0,5.0,S92
5.0,5.0,4.98,,5.0,5.0,5.0,L1
5.0,5.0,4.98,,5.0,5.0,5.0,L2
4.92,4.83,4.89,,5.0,4.75,4.0,L4
4.75,4.86,4.93,,5.0,5.0,5.0,L5
5.0,4.88,4.88,,4.91,5.0,,L6
4.96,4.92,5.0,,4.94,4.91,5.0,L8
4.85,4.94,4.69,,4.62,4.75,,L9
4.85,4.73,4.91,,5.0,5.0,5.0,L10
4.72,4.84,4.91,,4.92,5.0,,L11
4.9,4.93,4.91,,4.8,5.0,,L13
4.71,4.94,4.7,,4.64,5.0,5.0,L14
4.78,4.76,4.83,,4.85,5.0,5.0,L15
4.75,4.77,4.87,,4.89,4.71,4.0,L17
4.84,5.0,4.79,,5.0,5.0,3.75,L18
4.9,4.75,4.85,,4.8,4.8,5.0,L19
4.77,4.87,4.78,,4.73,5.0,,L23
4.8,4.8,4.77,,5.0,4.4,5.0,L24
4.85,4.67,4.86,,4.92,4.56,5.0,L27
4.83,5.0,4.79,,4.93,5.0,5.0,L28
4.82,4.89,4.94,,4.62,5.0,4.0,L34
4.82,4.83,4.93,,5.0,5.0,5.0,L36
4.89,4.86,4.9,,4.82,5.0,5.0,L38
4.95,4.54,5.0,,4.95,5.0,5.0,L40
4.56,4.67,4.71,,4.88,5.0,,L41
4.9,5.0,5.0,,5.0,5.0,,L42
4.8,4.71,4.59,,4.88,5.0,,L44
4.58,4.63,4.91,,4.94,5.0,5.0,L45
4.56,4.87,4.81,,4.94,4.83,,L47
5.0,4.75,4.86,,4.93,4.67,5.0,L50
4.76,4.57,4.85,,4.59,5.0,5.0,L53
5.0,4.94,4.97,,4.69,5.0,5.0,L54
4.79,4.63,4.75,,4.89,4.71,5.0,L59
4.81,4.81,4.85,,4.88,5.0,5.0,L60
4.8,5.0,4.87,,4.9,5.0,5.0,L64
4.88,4.79,4.59,,4.95,5.0,,L68
4.84,4.88,4.88,,4.94,5.0,4.0,L93
4.88,4.93,4.87,,4.88,5.0,,L104
4.83,4.88,4.9,,5.0,5.0,5.0,L105
4.84,4.92,4.93,,4.86,4.5,,L124
4.86,4.54,4.84,,4.84,5.0,,L126
5.0,5.0,5.0,,5.0,5.0,,L141
4.96,4.94,5.0,,4.77,4.33,5.0,L144
4.69,4.61,4.9,,5.0,5.0,5.0,L146
4.93,4.64,4.95,,4.82,5.0,5.0,L159
4.73,4.83,5.0,,4.89,4.78,5.0,L161
5.0,4.9,4.85,,4.85,4.5,,L190
4.73,5.0,4.85,,4.82,5.0,5.0,L198
4.96,4.86,4.91,,5.0,4.88,,L203
4.9,4.67,4.93,,5.0,5.0,4.43,L223
5.0,4.78,4.7,,4.73,4.8,,L230
5.0,4.93,4.82,,4.91,4.71,5.0,L240
5.0,5.0,5.0,5.0,5.0,5.0,,C1
5.0,5.0,5.0,5.0,5.0,,,C2
5.0,5.0,5.0,5.0,5.0,5.0,,C3
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C4
5.0,5.0,5.0,,5.0,5.0,5.0,C5
5.0,5.0,5.0,,5.0,5.0,5.0,C6
5.0,5.0,5.0,,5.0,5.0,5.0,C7
5.0,5.0,5.0,,5.0,5.0,5.0,C8
5.0,5.0,5.0,5.0,5.0,5.0,,C9
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C10
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C11
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C12
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C14
5.0,5.0,5.0,,5.0,5.0,5.0,C15
5.0,5.0,5.0,,5.0,5.0,5.0,C17
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C18
5.0,5.0,5.0,,5.0,5.0,5.0,C19
5.0,5.0,5.0,,5.0,5.0,5.0,C20
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C21
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C22
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C24
5.0,5.0,5.0,,5.0,5.0,5.0,C25
5.0,5.0,5.0,5.0,5.0,5.0,,C26
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C28
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C29
5.0,5.0,5.0,5.0,5.0,5.0,,C30
5.0,5.0,5.0,,5.0,5.0,5.0,C31
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C33
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C34
5.0,5.0,5.0,,5.0,5.0,5.0,C35
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C36
5.0,5.0,5.0,5.0,5.0,5.0,5.0,C37
5.0,5.0,5.0,5.0,5.0,5.0,,C38
5.0,5.0,5.0,5.0,5.0,5.0,,C40
5.0,5.0,5.0,,5.0,5.0,5.0,C41
5.0,5.0,5.0,,5.0,5.0,5.0,C42
