ingredients,Total_Count,로션,미스트/오일,스킨/토너,에센스/세럼/앰플,크림
다이펩타이드-2,15,3,1,0,5,6
커피콩추출물,15,5,1,1,6,2
메틸다이아이소프로필프로피온아마이드,15,0,1,2,6,6
효모/감자추출물발효여과물,15,1,2,1,7,4
류코노스톡/무발효여과물,15,0,0,1,9,5
오일팜오일,15,0,3,0,4,8
아세틸글루코사민,15,0,0,2,11,2
팔미토일트라이펩타이드-8,15,0,1,1,7,6
수용성프로테오글리칸,15,0,1,1,4,9
지모뿌리추출물,14,0,1,0,9,4
트라이소듐에틸렌다이아민다이석시네이트,14,0,1,3,4,6
비타민나무열매추출물,14,1,1,0,9,3
레몬밤잎추출물,14,1,4,0,5,4
소듐헤파린,14,0,0,1,6,7
람노오스,14,0,0,3,3,8
바쿠치올,14,0,0,0,7,7
아보카도열매추출물,14,3,0,5,0,6
효모/보리씨발효여과물,13,0,1,1,7,4
아세틸옥타펩타이드-3,13,1,2,0,5,5
합성비즈왁스,13,1,0,0,0,12
온천수,13,1,3,1,3,5
라우릭애씨드,13,2,0,0,4,7
비스-피이지-18메틸에터다이메틸실레인,13,1,0,2,6,4
대왕소나무잎추출물,13,3,0,1,5,4
토마토추출물,13,0,1,0,6,6
코코넛야자오일,13,0,1,0,1,11
폴리아이소부텐,13,1,0,0,9,3
한련초추출물,13,0,2,0,6,5
글라이코스핑고리피드,13,0,0,1,6,6
암모늄폴리아크릴로일다이메틸타우레이트,13,1,0,0,7,5
아스코빅애씨드폴리펩타이드,13,0,2,0,3,8
마그네슘설페이트,13,0,2,0,3,8
아이소프로필미리스테이트,13,0,1,0,10,2
아르간커넬오일,13,0,2,0,3,8
티트리추출물,13,0,1,3,6,3
코코-카프릴레이트/카프레이트,13,1,2,0,5,5
베르가모트잎추출물,12,3,1,1,5,2
글리시레티닉애씨드,12,0,0,0,3,9
펜타펩타이드-3,12,0,1,1,2,8
소듐메타포스페이트,12,0,1,1,8,2
아세틸글루타민,12,1,1,1,4,5
띠뿌리추출물,12,0,0,0,8,4
폴리글리세릴-2다이폴리하이드록시스테아레이트,12,0,0,0,9,3
트루로즈오브예리코추출물,12,0,1,2,2,7
티옥틱애씨드,12,0,0,0,10,2
하이드록시프로필비스팔미타마이드엠이에이,12,1,0,0,4,7
소듐글루코네이트,12,0,0,0,9,3
에스에이치-폴리펩타이드-1,12,0,0,0,9,3
아스코빌글루코사이드,12,0,0,0,11,1
펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트,12,0,1,0,2,9
판토락톤,12,0,1,0,3,8
라반딘오일,12,6,0,1,2,3
레틴알,12,0,0,0,3,9
사카라이드아이소머레이트,12,0,1,0,8,3
타임잎추출물,12,0,1,0,7,4
편백잎추출물,12,1,1,2,6,2
이눌린,12,0,1,1,4,6
하이드롤라이즈드치자추출물,11,1,0,1,4,5
트라이데세스-10,11,0,0,0,2,9
살비아오일,11,3,0,2,1,5
별꽃추출물,11,0,0,0,7,4
적색산화철,11,0,0,0,7,4
레스베라트롤,11,0,0,0,9,2
서양송악잎/줄기추출물,11,0,0,1,4,6
호호바에스터,11,1,0,0,0,10
글라이코프로테인,11,1,0,1,6,3
아시아틱 애씨드,11,0,0,11,0,0
연어알추출물,11,0,1,5,2,3
스핑고모나스발효추출물,10,0,0,1,8,1
락토코쿠스발효용해물,10,0,1,2,5,2
달맞이꽃오일,10,1,0,0,3,6
식물성스쿠알란,10,0,0,0,6,4
하이드롤라이즈드식물성단백질,10,0,0,0,4,6
도둑놈의지팡이뿌리추출물,10,0,1,0,7,2
전호추출물,10,0,0,3,4,3
양파추출물,10,0,1,0,6,3
카놀라오일,10,0,1,0,1,8
아세틸테트라펩타이드-11,10,0,0,1,7,2
니코틴아마이드모노뉴클레오타이드,10,0,0,0,9,1
헥실신남알,10,0,3,1,1,5
하이드롤라이즈드익스텐신,10,0,1,0,4,5
셀룰로오스,10,0,0,2,5,3
아모다이메티콘,10,0,1,0,5,4
