ingredients,Total_Count,로션,미스트/오일,스킨/토너,에센스/세럼/앰플,크림
아사이팜열매추출물,2,0,0,1,1,0
빌베리열매추출물,2,0,0,0,2,0
3-아스코빌카보닐다이펩타이드-17,2,0,0,0,0,2
쇠뜨기잎추출물,2,0,0,0,0,2
바실러스/폴릭애씨드발효여과추출물,2,0,0,0,0,2
아세틸펜타펩타이드-1,2,0,0,0,2,0
피키아발효용해여과물,2,0,0,1,1,0
자두추출물,2,0,1,0,1,0
유럽밤나무씨추출물,2,0,1,0,1,0
살구추출물,2,0,1,0,1,0
폴리락틱애씨드,2,0,0,0,2,0
완두콩펩타이드,2,0,0,0,2,0
락토바실러스/콩추출물발효여과물,2,0,0,1,1,0
형개추출물,2,0,1,0,1,0
모과추출물,2,0,1,0,1,0
니코티노일트라이펩타이드-35,2,0,0,0,2,0
니코티노일다이펩타이드-26,2,0,0,0,2,0
옥타펩타이드-2,2,0,0,0,2,0
펜타펩타이드-13,2,0,0,0,2,0
팔미토일트라이펩타이드-29,2,0,0,0,2,0
얼룩조릿대잎추출물,2,0,1,0,1,0
미리스토일헥사펩타이드-16,2,0,0,0,2,0
연꽃잎추출물,2,1,0,0,1,0
아스코빌프로필하이알루로네이트,2,0,0,0,0,2
쿠네아타산사열매추출물,2,0,1,0,1,0
락토코쿠스발효물,2,0,0,1,1,0
긴병꽃풀추출물,2,0,1,0,1,0
잎새버섯자실체추출물,2,0,1,0,1,0
해바라기씨추출물,2,0,1,0,1,0
고구마뿌리추출물,2,0,1,0,1,0
표고버섯추출물,2,0,1,0,1,0
허브로버트추출물,2,0,1,0,1,0
하이드록시프롤린,2,0,0,0,2,0
글리세린-3크로스폴리머,2,0,0,0,2,0
실론시나몬나무껍질추출물,2,0,0,0,0,2
메도우스위트추출물,2,0,0,1,1,0
카프릴로일에스에이치-노나펩타이드-6,2,0,0,0,0,2
메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀,1,1,0,0,0,0
보리추출물,1,1,0,0,0,0
오이추출물,1,1,0,0,0,0
호장근추출물,1,1,0,0,0,0
암모늄아크릴로일디메칠타우레이트/브이피코폴리머,1,1,0,0,0,0
알바프리지어추출물,1,0,0,0,0,1
황색5호,1,1,0,0,0,0
소듐폴리아스파테이트,1,0,0,0,0,1
블루플래그아이리스추출물,1,0,0,0,0,1
나팔수선화추출물,1,0,0,0,0,1
다이머다이리놀레일다이머다이리놀리에이트,1,0,0,0,0,1
펜타에리스리틸테트라스테아레이트,1,0,0,0,0,1
해바라기씨드케이크,1,1,0,0,0,0
만주자작나무껍질추출물,1,0,0,0,0,1
테르무스 테르모필루스발효물,1,0,0,0,0,1
피이지-크로스폴리머,1,0,0,0,0,1
프로필렌글라이콜디카프레이트,1,1,0,0,0,0
라우레스-23,1,1,0,0,0,0
완두콩추출물,1,0,0,0,0,1
피이지-240/에이치디아이코폴리머비스-데실테트라데세스-20에터,1,0,0,0,0,1
크리신,1,0,0,0,0,1
병풀오일,1,0,0,0,0,1
N-하이드록시석신이미드,1,0,0,0,0,1
카프로일메틸세리네이트,1,0,0,0,0,1
디에칠아미노하이드록시벤조일헥실벤조에이트,1,1,0,0,0,0
드로메트리졸트리실록산,1,1,0,0,0,0
폴리글리세릴-2아이소스테아레이트/다이머다이리놀리에이트코폴리머,1,0,0,0,0,1
다이라우릴티오다이프로피오네이트,1,0,0,0,0,1
향기제비꽃잎추출물,1,0,0,0,0,1
하이드로제네이티드올리브오일데실에스터,1,0,0,0,0,1
물망초꽃/잎/줄기추출물,1,0,0,0,1,0
마조람잎오일,1,0,0,0,1,0
하이드로제네이티드유채씨오일,1,0,0,0,0,1
고수추출물,1,0,0,0,1,0
바질오일,1,0,0,0,1,0
카프 릴릭/카프릭트라이글리세라이드,1,0,0,0,1,0
아세틸피토스핑고신,1,0,0,0,1,0
카우슬립꽃추출물,1,0,0,0,1,0
스피드웰꽃/잎/줄기추출물,1,0,0,0,1,0
서양톱풀꽃/잎/줄기추출물,1,0,0,0,1,0
레이디스맨틀꽃/잎/줄기추출물,1,0,0,0,1,0
후박나무가지추출물,1,0,0,0,1,0
당아욱꽃/잎/줄기추출물,1,0,0,0,1,0
클로렐라 프로토테코이데스추출물,1,0,0,0,1,0
인디고추출물,1,0,0,0,1,0
원지뿌리추출물,1,1,0,0,0,0
화이트티트리잎추출물,1,1,0,0,0,0
사이클로메치콘,1,1,0,0,0,0
꽈리꽃받침추출물,1,0,0,0,1,0
월귤잎추출물,1,0,0,0,1,0
타히티바닐라추출물,1,0,0,0,1,0
보스웰리아수지추출물,1,0,0,0,0,1
헥사펩타이드-35,1,0,0,0,0,1
버드나무껍질추출물,1,1,0,0,0,0
바질추출물,1,1,0,0,0,0
푸른연꽃수,1,1,0,0,0,0
율무씨추출물,1,1,0,0,0,0
로켓잎추출물,1,1,0,0,0,0
어성초,1,0,0,0,0,1
병풀단백질추출물,1,0,0,0,0,1
이소도데칸,1,1,0,0,0,0
여주열매추출물,1,0,0,0,0,1
쿼터늄-18벤토나이트,1,0,0,0,0,1
페트롤라툼,1,0,0,0,0,1
에스큘렌타렌즈콩씨추출물,1,0,0,0,0,1
구아닌,1,0,0,0,0,1
사이토신,1,0,0,0,0,1
아데닌,1,0,0,0,0,1
티민,1,0,0,0,0,1
하이드로제네이티드코튼씨드오일,1,0,0,0,0,1
우라실,1,0,0,0,0,1
트리에톡시카프릴릴실란,1,0,0,0,0,1
마치현추출물,1,0,0,0,0,1
비닐디메치콘/메치콘실세스퀴옥산크로스폴리머,1,0,0,0,0,1
소르비탄세스퀴올리에이트,1,0,0,0,0,1
디에칠헥실카보네이트,1,0,0,0,0,1
트라이에톡시실릴에틸폴리다이메틸실록시에틸헥실다이메티콘,1,0,0,0,0,1
하이드롤라이즈드소듐디엔에이,1,0,0,0,0,1
사이클로헥사실록산,1,0,0,0,0,1
칸델라브라알로에잎추출물,1,0,0,0,0,1
보검선인장씨오일,1,0,0,0,0,1
하이드로제네이티트다이데센,1,0,0,0,0,1
밤부사불가리스잎/줄기추출물,1,0,0,0,0,1
밤부사 불가리스싹추출물,1,0,0,0,0,1
익모초추출물,1,0,0,0,0,1
티몰 트라이메톡시신나메이트,1,0,0,0,0,1
화이트참파카꽃오일,1,0,0,0,0,1
살구씨오일,1,0,0,0,0,1
왜당귀뿌리수,1,1,0,0,0,0
비스-피이지-18메칠에텔디메칠실란,1,1,0,0,0,0
글루코만난,1,0,0,0,0,1
노니열매추출물,1,0,0,0,0,1
하이드롤라이즈드병풀추출물,1,0,0,0,0,1
헥실데실라우레이트,1,0,0,0,0,1
병풀아미노산,1,0,0,0,0,1
프로필렌글라이콜다이카프릴레이트/다이카프레이트,1,0,0,0,0,1
시호뿌리추출물,1,0,0,0,0,1
남가새열매추출물,1,0,0,0,0,1
소리쟁이뿌리추출물,1,0,0,0,0,1
자작나무껍질추출물,1,0,0,0,0,1
트라이-C14-15알킬시트레이트,1,0,0,0,0,1
불가리스매자뿌리추출물,1,0,0,0,0,1
향,1,0,0,0,0,1
커먼자스민꽃추출물,1,0,0,0,0,1
아스코빌아시아테이트,1,0,0,0,0,1
락틱애씨드/글라이콜릭애씨드코폴리머,1,1,0,0,0,0
쓴쑥추출물,1,0,0,0,0,1
박하추출물,1,1,0,0,0,0
페닐프로필디메틸실록시실리케이트,1,0,0,0,0,1
해바라기꽃추출물,1,0,0,0,0,1
서양고추나물추출물,1,0,0,0,0,1
하이드로제네이티드올리브오일라우릴에스터,1,0,0,0,0,1
병풀폴리펩타이드,1,0,0,0,0,1
하이드롤라이즈드오크라추출물,1,0,0,0,0,1
우엉뿌리추출물,1,0,0,0,0,1
차가버섯추출물,1,0,0,0,0,1
진주가루,1,0,0,0,0,1
마텔오일,1,0,0,0,0,1
커먼자스민오일,1,0,0,0,0,1
육계잎오일,1,0,0,0,1,0
옥토크릴렌,1,0,0,0,1,0
천궁수,1,1,0,0,0,0
알에이치-폴리펩타이드-62,1,0,0,0,0,1
찔레꽃열매추출물,1,0,0,0,0,1
스위트아카시아꽃추출물,1,0,0,0,0,1
당아욱꽃추출물,1,0,0,0,0,1
폴리에틸렌,1,0,0,0,0,1
세테아레스-25,1,0,0,0,0,1
카프로오일스핑고신,1,0,0,0,0,1
노랑만병초잎추출물,1,0,0,0,0,1
송이버섯추출물,1,0,0,0,0,1
호프추출물,1,0,0,0,0,1
검정콩오일,1,0,0,0,0,1
엔히드로박테르 아에로사쿠스발효추출여과물,1,0,0,0,0,1
스타퓔로코쿠스 에피데르미디스발효여과물,1,0,0,0,0,1
하이드롤라이즈드이집트콩씨추출물,1,0,0,0,0,1
쿠티박테리움 아크네스발효여과물,1,0,0,0,0,1
토타롤,1,0,0,0,0,1
아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,1,0,0,0,0,1
로즈마리닉애씨드,1,0,0,0,0,1
무씨추출물,1,0,0,0,0,1
하이드로제네이티드코코넛오일,1,0,0,0,0,1
하이드록시스테아릭애씨드,1,0,0,0,0,1
잉카피넛씨오일,1,0,0,0,0,1
그린와틀꽃왁스,1,0,0,0,0,1
에틸아이소스테아레이트,1,1,0,0,0,0
카프로오일피토스핑고신,1,0,0,0,0,1
세라마이드이오에스,1,0,0,0,0,1
피라칸타 포르투네아나열매 추출물,1,0,0,0,0,1
펜타에리스리틸 테트라에틸헥사노에이트,1,0,0,0,0,1
팔미토일에스에이치-트라이펩타이드-4아마이드,1,0,0,0,0,1
모자반추출물,1,0,0,0,0,1
납작파래추출물,1,0,0,0,0,1
다이펜타에리스리틸헥사카프릴레이트/헥사카프레이트,1,0,0,0,0,1
폴리시트로넬올아세테이트,1,0,0,0,0,1
아라비안자스민꽃추출물,1,0,0,0,0,1
야콘뿌리즙,1,0,0,0,0,1
망가니즈글루코네이트,1,0,0,0,0,1
비트레오스실라발효물,1,0,0,0,0,1
아세틸레이티드글라이콜스테아레이트,1,0,0,0,0,1
포트마리골드단백질추출물,1,0,0,0,0,1
소듐카복시메틸베타-글루칸,1,1,0,0,0,0
분홍바늘꽃꽃/잎/줄기추출물,1,0,0,0,0,1
봉의꼬리추출물,1,0,0,0,0,1
트라이데실스테아레이트,1,0,0,0,0,1
트라이데실트라이멜리테이트,1,0,0,0,0,1
에버라스팅꽃수,1,0,0,0,0,1
세테아릴에틸헥사노에이트,1,0,0,0,0,1
귀리커넬가루,1,0,0,0,0,1
피버퓨꽃/잎/줄기즙,1,0,0,0,0,1
물푸레나무추출물,1,1,0,0,0,0
소듐카복시메틸스타치,1,0,0,0,0,1
갈랑가갈랑갈추출물,1,0,0,0,1,0
메틸글루세스-10,1,0,0,0,1,0
녹차카테킨,1,0,0,0,1,0
아스파라거스추출물,1,0,0,0,0,1
파슬리추출물,1,0,0,0,0,1
케일잎추출물,1,0,0,0,0,1
모노기나산사꽃추출물,1,0,0,0,0,1
바질잎수,1,0,0,0,0,1
알에이치-폴리펩타이드-3,1,0,0,0,0,1
사플라워오일/팜오일아미노프로판다이올에스터,1,0,0,0,0,1
폴리이소부텐,1,1,0,0,0,0
위버대나무줄기추출물,1,0,0,0,0,1
해마토코쿠스 플루비알리스추출물,1,0,0,0,1,0
우유지질,1,0,0,0,1,0
서양송악추출물,1,0,0,0,1,0
레몬향티트리오일,1,0,0,0,1,0
미로탐누스 플라벨리폴리아잎/줄기추출물,1,0,0,0,1,0
효모/보리씨발효추출물,1,0,0,0,1,0
검은귀리추출물,1,0,0,0,1,0
콜레스테릴노나노에이트,1,0,0,0,1,0
콜레스테릴클로라이드,1,0,0,0,1,0
콜레스테릴아이소스테아레이트,1,0,0,0,1,0
볼도잎추출물,1,0,0,0,1,0
페퍼민트추출물,1,1,0,0,0,0
코코넛야자열매수,1,0,0,0,1,0
모나스커스추출물,1,0,0,0,0,1
네오펜틸글라이콜다이카프레이트,1,0,0,0,1,0
장미꽃,1,0,0,0,1,0
생달나무잎추출물,1,0,0,0,1,0
참오동나무잎추출물,1,0,0,0,1,0
솔잣나무가지/잎오일,1,0,0,0,1,0
아연,1,0,0,0,1,0
폴리그릴세릴-10스테아레이트,1,0,0,0,1,0
미레스-3미리스테이트,1,1,0,0,0,0
녹나무잎추출물,1,0,0,0,1,0
잣나무씨추출물,1,0,0,0,1,0
펜틸람노사이드,1,1,0,0,0,0
아이소세틸스테아로일스테아레이트,1,0,0,0,1,0
아쿠아,1,0,0,0,1,0
미역취추출물,1,0,0,0,1,0
소듐만노오스포스페이트,1,0,0,0,1,0
개청각추출물,1,0,0,0,1,0
스위트아몬드추출물,1,0,0,0,1,0
참미역추출물,1,0,0,0,0,1
크로뮴옥사이드그린,1,0,0,0,0,1
기름야자오일,1,1,0,0,0,0
다이실록세인,1,0,0,0,0,1
하이드록시에칠셀룰로오스,1,1,0,0,0,0
목면꽃추출물,1,1,0,0,0,0
키위추출물,1,0,0,0,0,1
테레프탈릴리덴디캠퍼설포닉애씨드,1,0,0,0,1,0
폴리에터-1,1,0,0,0,1,0
칼슘알루미늄보로실리케이트,1,0,0,0,1,0
흰버드나무잎추출물,1,0,0,0,1,0
알에이치-폴리펩타이드-2,1,0,0,0,1,0
코코-글루코사이드,1,0,0,0,1,0
포도뿌리추출물,1,0,0,0,1,0
합성왁스,1,0,0,0,1,0
글루카민,1,0,0,0,1,0
유채추출물,1,0,0,0,1,0
서양벌노랑이씨추출물,1,0,0,0,1,0
아마씨추출물,1,0,0,0,1,0
히솝추출물,1,0,0,0,1,0
세틸에 틸헥사노에이트,1,0,0,0,1,0
매스틱검,1,0,0,0,1,0
코코넛워터,1,0,0,0,1,0
아이소부틸아미도티아졸릴레조시놀,1,0,0,0,1,0
돌콩싹추출물,1,0,0,0,1,0
소듐코코일이세티오네이트,1,0,0,0,1,0
헬리크리숨스토에카스추출물,1,0,0,0,0,1
곤약뿌리추출물,1,0,0,1,0,0
단삼꽃/잎/뿌리추출물,1,0,0,0,0,1
마운틴페퍼잎추출물,1,0,0,1,0,0
마카다미아씨오일폴리글리세릴-6에스터스베헤네이트,1,0,0,0,1,0
트리펩타이드-32,1,0,0,0,1,0
레몬수,1,0,0,0,1,0
불가리스매자열매추출물,1,0,0,0,1,0
삼나무잎추출물,1,0,0,0,1,0
병풀즙,1,0,0,0,1,0
소이아이소플라본,1,0,0,0,1,0
우유엑소좀,1,0,0,0,1,0
복사나무잎추출물,1,0,0,0,1,0
글루타밀아미도에틸인돌,1,0,0,0,1,0
폴리,1,0,0,0,1,0
도금양열매추출물,1,0,0,0,1,0
효모/쌀발효여과추출물,1,0,0,1,0,0
포타슘소르베이트,1,0,1,0,0,0
식물성아미노산,1,0,0,1,0,0
"	
하이드록시에틸우레아",1,0,0,1,0,0
브이피코폴리머,1,0,0,1,0,0
암모늄아크릴로일다이메틸타우레이트,1,0,0,1,0,0
카프릴릭애씨드,1,0,0,1,0,0
해바라기싹추출물,1,0,0,1,0,0
브루셀스프라우트추출물,1,0,0,1,0,0
락토코쿠스/우유발효용해물,1,0,0,1,0,0
유채싹추출물,1,0,0,1,0,0
카멜그라스추출물,1,0,0,1,0,0
네오펜틸글라이콜다이에틸헥사노에이트,1,0,0,1,0,0
로즈힙씨오일,1,0,1,0,0,0
당아욱잎추출물,1,0,1,0,0,0
콜라나무씨추출물,1,0,0,0,1,0
판테틴,1,0,0,0,1,0
소듐알엔에이,1,0,0,0,1,0
팔리토일트라이펩타이드-5,1,0,0,0,1,0
설탕단풍추출물,1,0,0,0,1,0
황산앵초추출물,1,0,1,0,0,0
박하잎추출물,1,0,1,0,0,0
연꽃잎세포배양가루,1,0,0,0,1,0
연꽃캘러스배양추출물,1,0,0,0,1,0
세이지잎추출물,1,0,1,0,0,0
시계꽃추출물,1,0,1,0,0,0
멘틸피씨에이,1,0,1,0,0,0
스피드웰추출물,1,0,1,0,0,0
다이소듐코코암포다이아세테이트,1,0,0,0,1,0
아프리카스파이더플라워잎추출물,1,0,0,0,1,0
아크릴레이트코폴리머,1,0,0,0,1,0
꽃송이버섯추출물,1,0,0,0,1,0
세테스-24,1,0,0,0,1,0
소듐나프탈렌설포네이트,1,0,0,0,1,0
티아꽃추출물,1,0,1,0,0,0
라우다이모늄하이드록시프로필하이드롤라이즈드밀단백질,1,0,0,0,1,0
살리실로일피토스핑고신,1,0,1,0,0,0
암모늄폴리아크릴로일디메칠타우레이트,1,0,0,0,1,0
홍차추출물,1,0,0,0,1,0
글리세릴이소스테아레이트,1,0,0,0,1,0
살비아수,1,0,0,0,1,0
마룰라씨오일,1,0,0,0,1,0
빌베리씨오일,1,0,0,0,1,0
피이지-6카프릴릭/카프릭글리세라이드,1,0,0,0,1,0
선백리향잎추출물,1,0,1,0,0,0
미리스틸미리스테이트,1,0,0,0,1,0
마운틴페퍼열매추출물,1,0,0,1,0,0
오렌지수,1,0,0,0,1,0
에스에이치-올리고펩타이드-23에스피,1,0,0,1,0,0
소듐스테아로일하이알루로네이트,1,0,0,0,1,0
트라이플루오로아세틸트라이펩타이드-2,1,0,0,0,1,0
효모/쌀겨발효여과추출물,1,0,0,1,0,0
소듐올레오일하이알루로네이트,1,0,0,0,1,0
효모/헥사펩타이드-11발효여과추출물,1,0,0,0,1,0
타임꽃/잎/줄기추출물,1,0,1,0,0,0
오미자수,1,0,0,0,1,0
바실러스/쌀겨추출물/콩추출물발효여과물,1,0,0,1,0,0
디스타치포스페이트,1,0,0,0,1,0
세룰라타벚나무꽃추출물,1,0,1,0,0,0
옐로우체이스트위드추출물,1,0,0,0,1,0
비피다발효추출물,1,0,0,1,0,0
효모/쌀겨발효물,1,0,0,1,0,0
흑효모발효여과물,1,0,0,1,0,0
카바카바뿌리추출물,1,0,0,0,1,0
바실러스/글루타믹애씨드발효여과물,1,0,0,1,0,0
석류과피추출물,1,0,0,0,1,0
효모/콩단백질발효물,1,0,0,1,0,0
확정세포배양액9,1,0,0,0,1,0
소듐설페이티드하이알루로네이트,1,0,0,0,1,0
디소듐이디티에이-카퍼,1,0,1,0,0,0
효모/공작석발효물,1,0,0,1,0,0
소듐하이알루로네이트크로스폴리머 포타슘하이알루로네이트,1,0,1,0,0,0
크산토필,1,0,0,0,1,0
과라나씨추출물,1,0,1,0,0,0
락토코쿠스발효추출물,1,0,0,1,0,0
4-부틸레조시놀,1,0,0,0,1,0
하이드롤라이즈드칼슘하이알루로네이트,1,0,0,0,1,0
에칠멘탄카복사마이드,1,0,1,0,0,0
두충나무껍질추출물,1,0,1,0,0,0
꽃생강뿌리추출물,1,0,0,1,0,0
자주개자리씨추출물,1,0,1,0,0,0
황차추출물,1,0,1,0,0,0
아스퍼질러스/글루코오스/콩/전분발효여과물,1,0,0,1,0,0
헥실니코티네이트,1,0,0,1,0,0
황차카테킨,1,0,1,0,0,0
시팀우드검추출물,1,0,0,1,0,0
죽순껍질추출물,1,0,0,1,0,0
타히보껍질추출물,1,0,0,1,0,0
할미꽃추출물,1,0,0,1,0,0
스위트아몬드열매추출물,1,0,0,1,0,0
콘민트추출물,1,0,0,1,0,0
마그네슘아스파테이트,1,0,0,1,0,0
쑥국화추출물,1,0,0,1,0,0
알루미늄수크로오스옥타설페이트,1,0,0,1,0,0
돌나물추출물,1,0,0,1,0,0
측백나무추출물,1,0,0,1,0,0
목련나무껍질추출물,1,0,0,1,0,0
사프란암술머리추출물,1,0,0,1,0,0
씨홀리추출물,1,0,0,1,0,0
유럽잎갈나무목부추출물,1,0,0,1,0,0
쑥잎수,1,0,0,1,0,0
구주호랑가시나무잎추출물,1,0,0,1,0,0
갈락토아라비난,1,0,0,1,0,0
락토코쿠스/하이알루로닉애씨드발효여과물,1,0,0,1,0,0
다이소듐석시네이트,1,0,0,1,0,0
피피지-10메틸글루코오스에터,1,0,0,1,0,0
레불리닉애씨드,1,0,0,0,1,0
칼슘실리케이트,1,0,0,0,1,0
자몽씨오일,1,0,0,0,0,1
알칸나뿌리추출물,1,0,1,0,0,0
알루미늄다이스테아레이트,1,0,0,0,0,1
옥틸도데카올,1,0,0,0,0,1
아쿠아필루스 돌로미아이발효여과물,1,0,0,0,0,1
사과수,1,0,0,0,0,1
녹두전초추출물,1,0,0,0,0,1
황련추출물,1,0,0,0,0,1
로즈힙열매추출,1,0,0,0,0,1
아이소스테아릴네오펜타노에이트,1,1,0,0,0,0
페닐에틸레조시놀,1,0,0,0,0,1
아이소스테아릭애씨드,1,0,0,0,1,0
하이드로제네이티드올리브오일스테아릴에스터,1,0,0,0,0,1
우스니아추출물,1,0,0,1,0,0
하이알루로닉애씨드/하이드롤라이즈드콜라겐크로스폴리머,1,0,0,1,0,0
카우슬립추출물,1,0,1,0,0,0
말로우추출물,1,0,1,0,0,0
하이드롤라이즈드콩단백질,1,0,0,0,1,0
메칠프로판디올,1,0,1,0,0,0
성모초추출물,1,0,1,0,0,0
카라기난추출물,1,0,1,0,0,0
프로판디올,1,0,1,0,0,0
느릅나무뿌리추출물,1,0,1,0,0,0
프로필렌글라이콜다이벤조에이트,1,0,1,0,0,0
하수오전초추출물,1,0,0,1,0,0
흰목이버섯포자낭과추출물,1,0,0,1,0,0
라벤더꽃/잎/줄기추출물,1,0,1,0,0,0
만주자작나무껍질/잎추출물,1,0,1,0,0,0
구아바잎추출물,1,0,0,1,0,0
메틸실란올만누로네이트,1,0,0,0,0,1
에칠헥실메톡시신나메이트,1,0,0,0,0,1
프로필렌글라이콜다이카프릴레이트,1,0,0,0,0,1
락토바실러스/소이밀크발효여과물,1,0,0,0,0,1
레몬씨오일,1,0,0,0,0,1
석류씨오일,1,0,0,0,0,1
도데실갈레이트,1,0,0,0,0,1
노나펩타이드-29,1,0,0,0,0,1
이소데실네오펜타노에이트,1,0,0,0,0,1
카프릴릭/카프릭글리세라이즈,1,0,0,0,0,1
아미노프로필다이메티콘,1,1,0,0,0,0
마그네슘스테아레이트,1,0,0,0,0,1
고수열매오일,1,0,0,0,0,1
바닐라열매오일,1,0,0,0,0,1
하이드롤라이즈드효모추출물,1,0,0,0,0,1
바바수씨오일,1,0,0,0,0,1
가시칠엽수씨추출물,1,0,0,0,0,1
금송뿌리추출물,1,0,0,0,0,1
인돌아세틱애씨드,1,0,0,0,0,1
하이드롤라이즈드호밀피토플라센타추출물,1,0,0,0,0,1
황해쑥잎오일,1,0,0,0,0,1
벤토나이트,1,0,0,0,0,1
허니로커스트씨추출물,1,0,0,0,0,1
옥틸도데실미리스테이트,1,0,0,0,0,1
양까막까치밥나무씨오일,1,0,0,0,0,1
메발로노락톤,1,0,0,0,0,1
하이드로제네이티드캐스터오일,1,0,0,0,0,1
수크로오스트라이스테아레이트,1,0,0,0,0,1
하이 알루로닉애씨드,1,0,0,0,0,1
작약뿌리추 출물,1,0,0,0,0,1
글라이콜스테아레이트,1,0,0,0,1,0
카렌둘라꽃추출물,1,0,1,0,0,0
소듐헥사메타포스페이트,1,0,0,0,1,0
쿠티박테리움 아비둠발효추출여과물,1,0,1,0,0,0
효모/칼슘발효물,1,0,0,1,0,0
레몬유칼립투스오일,1,0,1,0,0,0
제충국꽃추출물,1,0,1,0,0,0
락토바실러스/조류추출발효물,1,0,0,1,0,0
클로렐라발효물,1,0,0,1,0,0
애기부들이삭추출물,1,0,0,0,1,0
꼬리풀추출물,1,0,1,0,0,0
방풍뿌리추출물,1,0,0,0,1,0
포타슘아스파테이트,1,0,0,0,1,0
올리고펩타이드-4,1,0,0,0,1,0
락토바실러스발효용해여과물,1,0,0,1,0,0
약모밀소포,1,0,0,1,0,0
스타이렌/아크릴레이트코폴리머,1,0,0,0,1,0
라우릴하이드록시설테인,1,0,0,0,1,0
세테아릴아이소노나노에이트,1,0,0,0,1,0
당아욱추출물,1,0,1,0,0,0
폴리쿼터늄-22,1,0,0,0,1,0
당호박씨오일,1,0,0,0,1,0
채찍산호추출물,1,0,0,0,1,0
회화나무꽃추출물,1,0,0,0,1,0
눈빛승마추출물,1,0,0,0,1,0
꽃박하잎추출물,1,0,1,0,0,0
맨드라미꽃추출물,1,0,0,0,1,0
에르고티오네인,1,0,0,0,1,0
스트로브잣나무껍질추출물,1,0,0,0,1,0
말로우잎추출물,1,0,1,0,0,0
폴리하이드록시스테아릭애씨드,1,0,0,0,1,0
효모/슈가캘프발효물,1,0,0,1,0,0
락토바실러스/여바산타발효추출물,1,0,0,1,0,0
락토바실러스/히비스커스꽃발효여과물,1,0,0,1,0,0
망가니즈피씨에이,1,0,1,0,0,0
만주자작나무수액,1,0,0,1,0,0
비누풀잎추출물,1,0,0,0,1,0
무환자추출물,1,0,0,0,1,0
스타이렌/브이피코폴리머,1,0,0,1,0,0
아이소쿼시트린,1,0,0,1,0,0
동아씨추출물,1,0,0,0,1,0
에틸헥실펠라고네이트,1,0,0,0,1,0
명일엽잎/줄기추출물,1,0,1,0,0,0
이소헥사데칸,1,0,1,0,0,0
서양민들레뿌리줄기/뿌리추출물,1,0,1,0,0,0
락토코쿠스/녹두추출물발효여과물,1,0,0,1,0,0
비오틴/폴릭애씨드/시아노코바라민/니아신아마이드/판토테닉애씨드/피리독신/리보플라빈/티아민/효모폴리펩테이드,1,0,0,0,1,0
락토바실러스/아세로라체리발효물,1,0,0,1,0,0
시로미열매즙,1,0,0,0,1,0
락토바실러스/우유발효여과물,1,0,0,1,0,0
비타민나무추출물,1,0,0,0,1,0
뽕나무열매추출물,1,0,0,0,1,0
초피나무열매오일,1,0,0,0,1,0
디포타슘글리시리제이트,1,0,1,0,0,0
밤보늬추출물,1,0,0,0,1,0
옥수수잎추출물,1,0,0,0,1,0
베르가못잎추출물,1,0,0,0,1,0
아이슬란드이끼추출물,1,0,0,0,1,0
수국잎추출물,1,0,0,0,1,0
치자나무꽃추출물,1,0,0,0,1,0
메틸글루코오스세스퀴스테아레이트,1,0,0,0,1,0
당호박씨추출물,1,0,1,0,0,0
