ingredient,product_count,cat_에센스/세럼/앰플,ratio_에센스/세럼/앰플
에틸렌브라실레이트,3,3,1.0
리날릴아세테이트,3,3,1.0
전호추출물,3,3,1.0
라미나리아 오크롤레우카추출물,3,3,1.0
2-t-부틸사이클로헥실아세테이트,3,3,1.0
콜라겐아미노산,3,3,1.0
삼색제비꽃추출물,3,3,1.0
클로헥시딘디글루코네이트,3,3,1.0
판토락톤,3,3,1.0
대추추출물,3,3,1.0
C12-14파레스-12,3,3,1.0
스테아레스-20,3,3,1.0
자몽껍질오일,3,3,1.0
오이열매추출물,3,3,1.0
와일드인디고뿌리추출물,3,3,1.0
이노시톨,3,3,1.0
레이디스맨틀잎추출물,3,3,1.0
미리스틱애씨드,3,3,1.0
키토산,3,3,1.0
화이트루핀씨추출물,3,3,1.0
헤스페리딘메틸칼콘,3,3,1.0
라즈베리추출물,3,3,1.0
시트로넬올※,3,3,1.0
3-헥센올,3,3,1.0
칼슘판토테네이트,3,3,1.0
"2,4-다이메틸-3-사이클로헥신카복스알데하이드",3,3,1.0
비치스트로베리추출물,3,3,1.0
헥세닐아세테이트,3,3,1.0
겨우살이추출물,3,3,1.0
지치뿌리추출물,3,3,1.0
클로페네신,3,3,1.0
효모추출물,3,3,1.0
미리스토일펜타펩타이드-17,3,3,1.0
아틀라스시다나무껍질오일,3,3,1.0
솔비탄라우레이트,3,3,1.0
마이크로크리스탈린셀룰로오스,3,3,1.0
콜레스-24,3,3,1.0
글리시레티닉애씨드,3,3,1.0
연필향나무오일,3,3,1.0
서양배추출물,3,3,1.0
석시노글리칸,3,3,1.0
트라이데세스-6,3,3,1.0
합성플루오르플로고파이트,3,3,1.0
탄닉애씨드,3,3,1.0
소듐아크릴릭애씨드/엠에이코폴리머,3,3,1.0
하이드로제네이티드포스파티딜콜린,3,3,1.0
피이지/피피지-17/6코폴리머,3,3,1.0
호호바왁스피이지-120에스터,3,3,1.0
소듐올리에이트,3,3,1.0
피이지-7글리세릴코코에이트,3,3,1.0
프로필렌글라이콜알지네이트,3,3,1.0
오크라열매추출물,3,3,1.0
에피갈로카테킨갈레이트,3,3,1.0
헤스페리딘,3,3,1.0
리보플라빈,3,3,1.0
아르간커넬오일,3,3,1.0
편백수,3,3,1.0
라피노오스,3,3,1.0
서양산딸기잎추출물,3,3,1.0
제로틴/하이드롤라이즈드디엔에이,3,3,1.0
피이지-6,3,3,1.0
글리세릴폴리아크릴레이트,3,3,1.0
카바카바잎/뿌리/줄기추출물,3,3,1.0
